Volcano Name,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value
124,2,12,8,1,5023.0,2011,-1.467,-78.442
91,0,27,4,4,-1410.0,2011,45.95,-130.0
37,1,10,10,1,4754.0,2011,56.056,160.642
100,2,16,7,7,688.0,2011,-4.271,152.203
41,2,1,1,1,1797.0,2011,2.781,125.407
12,2,3,3,1,1036.0,2011,12.606,-86.84
85,1,1,1,1,1580.0,2011,1.358,124.792
42,3,19,8,1,3977.0,2011,-35.223,-70.568
54,2,6,6,2,1700.0,2011,31.934,130.862
14,1,8,3,1,3340.0,2011,10.025,-83.767
131,0,37,14,8,-48.0,2011,14.242,40.3
4,3,1,1,1,2329.0,2010,-7.942,112.95
124,3,12,8,1,5023.0,2010,-1.467,-78.442
132,3,10,10,1,2334.0,2010,55.131,160.32
63,2,13,12,1,1535.0,2010,12.769,124.056
1,4,1,1,1,2910.0,2010,-7.54,110.446
49,2,1,1,3,155.0,2010,-6.102,105.423
6,1,5,5,2,2632.0,2010,-21.244,55.708
44,2,20,1,1,354.0,2010,12.278,93.858
42,2,19,8,1,3977.0,2010,-35.223,-70.568
11,2,1,1,1,2460.0,2010,3.17,98.392
108,1,32,18,1,3320.0,2010,37.748,14.999
120,2,29,8,5,4276.0,2010,1.22,-77.37
101,2,16,7,1,1807.0,2010,-4.08,145.037
41,3,1,1,1,1797.0,2010,2.781,125.407
100,1,16,7,7,688.0,2010,-4.271,152.203
73,1,10,11,1,1103.0,2010,50.686,156.014
133,2,10,11,1,1170.0,2010,48.958,153.93
3,2,3,3,1,1745.0,2010,12.702,-87.004
134,1,10,10,3,1799.0,2010,52.559,158.03
16,2,4,9,1,1730.0,2010,52.825,-169.944
135,3,4,6,4,-184.0,2010,16.58,145.78
31,2,16,7,1,2334.0,2010,-5.05,151.33
136,3,10,10,1,2882.0,2010,55.972,160.595
115,1,4,6,1,570.0,2010,18.13,145.8
137,1,6,6,1,775.0,2010,34.094,139.526
108,2,32,18,1,3320.0,2010,37.748,14.999
54,1,6,6,2,1700.0,2010,31.934,130.862
138,4,30,17,1,1651.0,2010,63.633,-19.633
139,1,6,6,4,-29.0,2010,24.285,141.481
103,2,1,1,1,3657.0,2010,-8.108,112.922
14,2,8,3,1,3340.0,2010,10.025,-83.767
52,1,21,14,2,3058.0,2010,-1.408,29.2
124,3,12,8,1,5023.0,2010,-1.467,-78.442
136,3,10,10,1,2882.0,2009,55.972,160.595
140,1,3,3,1,1700.0,2009,11.538,-85.622
94,1,19,8,1,2847.0,2009,-39.42,-71.93
39,1,8,3,1,2697.0,2009,10.2,-84.233
6,1,5,5,2,2632.0,2009,-21.244,55.708
16,2,4,9,1,1730.0,2009,52.825,-169.944
127,2,22,7,1,797.0,2009,-14.27,167.5
53,1,1,1,5,2565.0,2009,-7.2,109.879
82,2,16,7,5,1330.0,2009,-5.525,148.42
56,2,13,12,1,2462.0,2009,13.257,123.685
3,2,3,3,1,1745.0,2009,12.702,-87.004
37,2,10,10,1,4754.0,2009,56.056,160.642
141,2,37,14,2,600.0,2009,12.17,40.82
16,2,4,9,1,1730.0,2009,52.825,-169.944
19,4,10,11,1,1496.0,2009,48.092,153.2
118,0,14,13,4,-132.0,2009,-25.887,-177.188
74,2,1,1,1,3726.0,2009,-8.42,116.47
105,1,1,1,1,3428.0,2009,-7.242,109.208
22,2,12,8,2,1476.0,2009,-0.37,-91.55
137,1,6,6,1,775.0,2009,34.094,139.526
51,1,1,1,1,3800.0,2009,-1.697,101.264
49,2,1,1,3,155.0,2009,-6.102,105.423
93,2,15,13,4,114.0,2009,-20.536,-175.382
142,3,4,9,1,3108.0,2009,60.485,-152.742
73,1,10,11,1,1103.0,2009,50.686,156.014
94,1,19,8,1,2847.0,2009,-39.42,-71.93
28,2,6,6,5,2568.0,2009,36.406,138.523
53,1,1,1,5,2565.0,2009,-7.2,109.879
39,1,8,3,1,2697.0,2009,10.2,-84.233
16,2,4,9,1,1730.0,2009,52.825,-169.944
60,1,1,1,1,3142.0,2009,-4.016,103.121
143,2,10,10,1,3430.0,2008,53.321,158.712
41,2,1,1,1,1797.0,2008,2.781,125.407
3,1,3,3,1,1745.0,2008,12.702,-87.004
144,1,6,6,3,1499.0,2008,43.384,144.013
145,0,15,13,4,-1400.0,2008,-15.37,-174.23
146,0,15,13,4,-1174.0,2008,-15.1,-173.75
147,3,37,14,9,578.0,2008,13.793,40.553
148,3,29,8,1,5364.0,2008,2.93,-76.03
94,1,19,8,1,2847.0,2008,-39.42,-71.93
120,3,29,8,5,4276.0,2008,1.22,-77.37
37,1,10,10,1,4754.0,2008,56.056,160.642
6,1,5,5,2,2632.0,2008,-21.244,55.708
40,1,7,7,1,796.0,2008,-10.386,165.804
54,1,6,6,2,1700.0,2008,31.934,130.862
56,1,13,12,1,2462.0,2008,13.257,123.685
28,1,6,6,5,2568.0,2008,36.406,138.523
149,4,4,9,1,314.0,2008,52.177,-175.508
140,1,3,3,1,1700.0,2008,11.538,-85.622
75,2,10,11,1,1781.0,2008,50.324,155.461
150,2,12,8,1,3562.0,2008,-0.077,-77.656
151,2,16,7,1,564.0,2008,-5.416,150.027
152,4,4,9,2,1073.0,2008,53.43,-168.13
136,3,10,10,1,2882.0,2008,55.972,160.595
12,1,3,3,1,1036.0,2008,12.606,-86.84
153,0,14,13,4,-220.0,2008,-35.745,178.478
3,1,3,3,1,1745.0,2008,12.702,-87.004
13,2,1,1,1,3260.0,2008,-8.119,114.056
18,3,1,1,1,1785.0,2008,1.112,124.737
154,1,12,8,2,1640.0,2008,-0.92,-91.408
155,2,22,7,7,1334.0,2008,-16.25,168.12
44,2,20,1,1,354.0,2008,12.278,93.858
108,1,32,18,1,3320.0,2008,37.748,14.999
137,1,6,6,1,775.0,2008,34.094,139.526
156,4,19,8,3,1122.0,2008,-42.833,-72.646
83,1,3,3,3,594.0,2008,11.985,-86.165
157,2,1,1,1,1661.0,2008,-8.676,122.455
158,1,1,1,1,1325.0,2008,1.488,127.63
51,1,1,1,1,3800.0,2008,-1.697,101.264
151,1,16,7,1,564.0,2008,-5.416,150.027
45,1,4,9,1,2507.0,2008,56.17,-159.38
36,1,6,6,3,1592.0,2008,32.884,131.104
118,0,14,13,4,-132.0,2008,-25.887,-177.188
39,1,8,3,1,2697.0,2008,10.2,-84.233
137,1,6,6,1,775.0,2008,34.094,139.526
148,2,29,8,1,5364.0,2008,2.93,-76.03
159,3,19,8,1,3125.0,2008,-38.692,-71.729
160,2,1,1,1,2575.0,2007,-0.979,100.681
161,2,4,6,1,790.0,2007,16.35,145.67
140,2,3,3,1,1700.0,2007,11.538,-85.622
3,1,3,3,1,1745.0,2007,12.702,-87.004
12,1,3,3,1,1036.0,2007,12.606,-86.84
49,2,1,1,3,155.0,2007,-6.102,105.423
106,2,1,1,1,1730.0,2007,-7.935,112.314
120,3,29,8,5,4276.0,2007,1.22,-77.37
162,3,31,14,1,244.0,2007,15.55,41.83
163,1,14,13,1,2797.0,2007,-39.28,175.57
51,1,1,1,1,3800.0,2007,-1.697,101.264
121,1,16,7,3,724.0,2007,-5.576,150.516
75,2,10,11,1,1781.0,2007,50.324,155.461
78,2,4,9,1,2493.0,2007,55.417,-161.894
141,2,37,14,2,600.0,2007,12.17,40.82
13,2,1,1,1,3260.0,2007,-8.119,114.056
164,2,1,1,1,1635.0,2007,1.38,127.53
16,2,4,9,1,1730.0,2007,52.825,-169.944
18,3,1,1,1,1785.0,2007,1.112,124.737
64,3,23,14,1,2962.0,2007,-2.764,35.914
159,2,19,8,1,3125.0,2007,-38.692,-71.729
165,1,16,7,1,75.0,2007,-5.519,148.115
136,3,10,10,1,2882.0,2007,55.972,160.595
31,2,16,7,1,2334.0,2007,-5.05,151.33
166,2,22,7,1,1413.0,2007,-16.507,168.346
9,1,7,7,4,-20.0,2007,-8.991,157.979
98,0,6,6,5,3067.0,2007,35.893,137.48
108,2,32,18,1,3320.0,2007,37.748,14.999
160,2,1,1,1,2575.0,2007,-0.979,100.681
150,2,12,8,1,3562.0,2007,-0.077,-77.656
75,2,10,11,1,1781.0,2007,50.324,155.461
148,3,29,8,1,5364.0,2007,2.93,-76.03
37,2,10,10,1,4754.0,2007,56.056,160.642
140,1,3,3,1,1700.0,2007,11.538,-85.622
167,2,1,1,1,633.0,2007,-7.791,123.585
168,2,38,5,2,2361.0,2007,-11.75,43.38
18,1,1,1,1,1785.0,2006,1.112,124.737
118,0,14,13,4,-132.0,2006,-25.887,-177.188
12,1,3,3,1,1036.0,2006,12.606,-86.84
115,1,4,6,1,570.0,2006,18.13,145.8
52,2,21,14,2,3058.0,2006,-1.408,29.2
169,1,4,9,1,1518.0,2006,52.381,-174.166
155,2,22,7,7,1334.0,2006,-16.25,168.12
165,1,16,7,1,75.0,2006,-5.519,148.115
63,2,13,12,1,1535.0,2006,12.769,124.056
163,1,14,13,1,2797.0,2006,-39.28,175.57
60,1,1,1,1,3142.0,2006,-4.016,103.121
39,1,8,3,1,2697.0,2006,10.2,-84.233
170,2,4,9,1,2105.0,2006,58.77,-153.672
160,1,1,1,1,2575.0,2006,-0.979,100.681
140,2,3,3,1,1700.0,2006,11.538,-85.622
137,1,6,6,1,775.0,2006,34.094,139.526
100,4,16,7,7,688.0,2006,-4.271,152.203
82,2,16,7,5,1330.0,2006,-5.525,148.42
171,2,15,13,4,-10.0,2006,-18.992,-174.775
83,1,3,3,3,594.0,2006,11.985,-86.165
12,1,3,3,1,1036.0,2006,12.606,-86.84
6,1,5,5,2,2632.0,2006,-21.244,55.708
108,2,32,18,1,3320.0,2006,37.748,14.999
56,1,13,12,1,2462.0,2006,13.257,123.685
41,1,1,1,1,1797.0,2006,2.781,125.407
