,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
7958,Katla,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490,1210
7959,Bardarbunga,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000,1210
7960,Ruapehu,Confirmed Eruption,3,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1210
7961,Hekla,Confirmed Eruption,3,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490,1206
7962,Terceira,Confirmed Eruption,0,Portugal,Atlantic Ocean,Stratovolcano,38.73°N,27.32°W,1023,1200
7963,Deception Island,Confirmed Eruption,0,Antarctica,Antarctica,Caldera,63.001°S,60.652°W,602,1200
7964,Brennisteinsfjoll,Confirmed Eruption,2,Iceland,Iceland and Arctic Ocean,Crater rows,63.933°N,21.783°W,610,1200
7965,San Salvador,Confirmed Eruption,4,El Salvador,México and Central America,Stratovolcano,13.734°N,89.294°W,1893,1200
7966,Vulcano,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,38.404°N,14.962°E,500,1200
7967,Yokodake,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.087°N,138.32°E,2480,1200
7968,Kostakan,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Pyroclastic cone,53.83°N,158.05°E,1150,1200
7969,Avachinsky,Confirmed Eruption,0,Russia,Kamchatka and Mainland Asia,Stratovolcano,53.256°N,158.836°E,2717,1200
7970,Shasta,Confirmed Eruption,0,United States,Canada and Western USA,Stratovolcano,41.409°N,122.193°W,4317,1200
7971,Redoubt,Confirmed Eruption,0,United States,Alaska,Stratovolcano,60.485°N,152.742°W,3108,1200
7972,Hayes,Confirmed Eruption,0,United States,Alaska,Stratovolcano,61.64°N,152.411°W,3034,1200
7973,Haleakala,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,20.708°N,156.25°W,3055,1200
