Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Nyamulagira,Confirmed Eruption,1998 Oct 17,2,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058
Fukutoku-Oka-no-Ba,Uncertain Eruption,1998 Oct 16,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29
"Azul, Cerro",Confirmed Eruption,1998 Sep 15,1,Ecuador,South America,Shield,0.92°S,91.408°W,1640
Masaya,Confirmed Eruption,1998 Sep 14,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594
Whakaari/White Island,Confirmed Eruption,1998 Aug 22,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Chiginagak,Confirmed Eruption,1998 Aug 13,1,United States,Alaska,Stratovolcano,57.135°N,156.99°W,2221
Guagua Pichincha,Confirmed Eruption,1998 Aug 7,3,Ecuador,South America,Stratovolcano,0.171°S,78.598°W,4784
Klyuchevskoy,Confirmed Eruption,1998 Jul 23,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Lopevi,Confirmed Eruption,1998 Jul 16,3,Vanuatu,Melanesia and Australia,Stratovolcano,16.507°S,168.346°E,1413
Karangetang,Confirmed Eruption,1998 Jul 5,1,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Kerinci,Confirmed Eruption,1998 Jul 4,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Batur,Confirmed Eruption,1998 Jul 4,1,Indonesia,Indonesia,Caldera,8.242°S,115.375°E,1717
Kavachi,Uncertain Eruption,1998 Jul 2,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Bezymianny,Confirmed Eruption,1998 Jun 20,0,Russia,Kamchatka and Mainland Asia,Stratovolcano,55.972°N,160.595°E,2882
Sheveluch,Confirmed Eruption,1998 May 30,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283
Kita-Ioto,Uncertain Eruption,1998 May 21,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,25.424°N,141.284°E,792
Korovin,Confirmed Eruption,1998 May 8,3,United States,Alaska,Stratovolcano(es),52.381°N,174.166°W,1518
Kikai,Confirmed Eruption,1998 Apr 25,2,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Peuet Sague,Confirmed Eruption,1998 Apr 19,1,Indonesia,Indonesia,Complex,4.903°N,96.289°E,2785
Llaima,Confirmed Eruption,1998 Apr 3,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Niigata-Yakeyama,Confirmed Eruption,1998 Mar 30,1,Japan,"Japan, Taiwan, Marianas",Lava dome,36.921°N,138.036°E,2400
Whakaari/White Island,Confirmed Eruption,1998 Mar 28,1,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
"Fournaise, Piton de la",Confirmed Eruption,1998 Mar 9,1,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Villarrica,Confirmed Eruption,1998 Feb 24,1,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847
Rincon de la Vieja,Confirmed Eruption,1998 Feb 15,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Axial Seamount,Confirmed Eruption,1998 Jan 25,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,45.95°N,130°W,-1410
San Miguel,Confirmed Eruption,1997 Dec 31,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Monowai,Confirmed Eruption,1997 Dec 15,0,New Zealand,New Zealand to Fiji,Submarine,25.887°S,177.188°W,-132
